Date,Neighborhood,Confirmed,ZIP_CODE
2020-07-06,N40: SHEPHERD PARK,175,20012.0
2020-07-06,N6: BRENTWOOD,174,20018.0
2020-07-06,N2: ADAMS MORGAN,173,20009.0
2020-07-06,N48: UNION STATION,160,20002.0
2020-07-06,N5: BLOOMINGDALE,142,20001.0
2020-07-06,N44: TENLEYTOWN,138,20016.0
2020-07-06,N23: GEORGETOWN EAST,130,20007.0
2020-07-06,N28: KINGMAN PARK,120,20002.0
2020-07-06,N27: KENT/PALISADES,115,20016.0
2020-07-06,N25: HILL EAST,93,20003.0
2020-07-06,N51: WOODRIDGE,91,20018.0
2020-07-06,N49: WASHINGTON HIGHLANDS,89,20032.0
2020-07-06,N10: CATHEDRAL HEIGHTS,74,20016.0
2020-07-06,N9: CAPITOL HILL,72,20002.0
2020-07-06,N50: WOODLEY PARK,66,20008.0
2020-07-06,N24: GWU,63,20052.0
2020-07-06,N19: FOREST HILLS,61,20008.0
2020-07-06,N11: CHEVY CHASE,52,20015.0
2020-07-06,N3: BARNABY WOODS,40,20015.0
2020-07-06,N22: GEORGETOWN,24,20007.0
2020-07-06,N15: DC MEDICAL CENTER,22,20422.0
2020-07-06,N36: NAVAL STATION & AIR FORCE,4,20373.0
2020-07-06,N35: NATIONAL MALL,1,20004.0
2020-07-07,N13: COLUMBIA HEIGHTS,700,20010.0
2020-07-07,N1: 16th ST HEIGHTS,630,20011.0
2020-07-07,N7: BRIGHTWOOD,489,20011.0
2020-07-07,N12: CHINATOWN,379,20001.0
2020-07-07,N37: NAYLOR/HILLCREST,365,20020.0
2020-07-07,N38: PETWORTH,356,20011.0
2020-07-07,N8: BRIGHTWOOD PARK,350,20011.0
2020-07-07,N31: LOGAN CIRCLE/SHAW,320,20005.0
2020-07-07,N45: TRINIDAD,319,20002.0
2020-07-07,N30: LINCOLN HEIGHTS,319,20019.0
2020-07-07,N33: MICHIGAN PARK,307,20017.0
2020-07-07,N34: MOUNT PLEASANT,294,20010.0
2020-07-07,N32: MARSHALL HEIGHTS,273,20019.0
2020-07-07,N14: CONGRESS HEIGHTS/SHIPLEY,266,20032.0
2020-07-07,N20: FORT DUPONT,248,20019.0
2020-07-07,N21: FORT LINCOLN/GATEWAY,246,20018.0
2020-07-07,N29: LAMOND RIGGS,226,20011.0
2020-07-07,N46: TWINING,224,20020.0
2020-07-07,N39: SAINT ELIZABETHS,220,20032.0
